,Index,ID,Name,cluster
0,0,1535,Death Note,0
1,1,16498,Shingeki no Kyojin,0
2,2,11757,Sword Art Online,2
3,3,5114,Fullmetal Alchemist Brotherhood,0
4,4,6547,Angel Beats ,2
5,5,1575,Code Geass Hangyaku no Lelouch,0
6,6,20,Naruto,2
7,7,9253,Steins Gate,1
8,8,10620,Mirai Nikki TV ,0
9,9,4224,Toradora ,1
10,10,269,Bleach,2
11,11,226,Elfen Lied,0
12,12,22319,Tokyo Ghoul,0
13,13,19815,No Game No Life,2
14,14,121,Fullmetal Alchemist,2
15,15,6702,Fairy Tail,2
16,16,9919,Ao no Exorcist,2
17,17,3588,Soul Eater,2
18,18,2904,Code Geass Hangyaku no Lelouch R2,0
19,19,2167,Clannad,1
20,20,2001,Tengen Toppa Gurren Lagann,2
21,21,6746,Durarara ,0
22,22,30276,One Punch Man,0
23,23,21881,Sword Art Online II,2
24,24,8074,Highschool of the Dead,0
25,25,11111,Another,0
26,26,20507,Noragami,2
27,27,13601,Psycho Pass,0
28,28,18679,Kill la Kill,2
29,29,22199,Akame ga Kill ,0
30,30,1,Cowboy Bebop,0
31,31,5081,Bakemonogatari,0
32,32,199,Sen to Chihiro no Kamikakushi,0
33,33,9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai ,1
34,34,9756,Mahou Shoujo Madoka Magica,1
35,35,30,Neon Genesis Evangelion,2
36,36,10793,Guilty Crown,0
37,37,4181,Clannad After Story,1
38,38,10087,Fate Zero,0
39,39,6880,Deadman Wonderland,0
40,40,2025,Darker than Black Kuro no Keiyakusha,0
41,41,849,Suzumiya Haruhi no Yuuutsu,1
42,42,11061,Hunter x Hunter 2011 ,2
43,43,22535,Kiseijuu Sei no Kakuritsu,0
44,44,4898,Kuroshitsuji,0
45,45,853,Ouran Koukou Host Club,1
46,46,23273,Shigatsu wa Kimi no Uso,1
47,47,15809,Hataraku Maou sama ,1
48,48,27899,Tokyo Ghoul A,0
49,49,31043,Boku dake ga Inai Machi,0
50,50,11617,High School DxD,1
51,51,14741,Chuunibyou demo Koi ga Shitai ,1
52,52,7054,Kaichou wa Maid sama ,1
53,53,205,Samurai Champloo,0
54,54,17265,Log Horizon,2
55,55,5680,K On ,1
56,56,28223,Death Parade,0
57,57,13759,Sakurasou no Pet na Kanojo,1
58,58,813,Dragon Ball Z,2
59,59,356,Fate stay night,0
60,60,12189,Hyouka,1
61,61,2251,Baccano ,0
62,62,934,Higurashi no Naku Koro ni,0
63,63,18153,Kyoukai no Kanata,1
