,ID,Name,Genre,Studio,members,Rating,0
0,1535,Death Note,"Mystery, Police, Psychological, Supernatural, Thriller",Madhouse,1013917.0,8.66,0
1,16498,Shingeki no Kyojin,"Action, Drama, Fantasy, Shounen, Super Power",Wit Studio,896229.0,8.48,0
2,11757,Sword Art Online,"Action, Adventure, Fantasy, Game, Romance",A-1 Pictures,893100.0,7.54,3
3,5114,Fullmetal Alchemist Brotherhood,"Action, Adventure, Drama, Fantasy, Magic, Military, Shounen",Bones,793665.0,9.23,3
4,6547,Angel Beats ,"Action, Comedy, Drama, School, Supernatural",P.A. Works,717796.0,8.26,2
5,1575,Code Geass Hangyaku no Lelouch,"Action, Mecha, Military, School, Sci-Fi, Super Power",Sunrise,715151.0,8.76,0
6,20,Naruto,"Action, Comedy, Martial Arts, Shounen, Super Power",Studio Pierrot,683297.0,7.92,3
7,9253,Steins Gate,"Sci-Fi, Thriller",White Fox,673572.0,9.12,2
8,10620,Mirai Nikki TV ,"Action, Mystery, Psychological, Shounen, Supernatural, Thriller",Asread,657190.0,7.79,0
9,4224,Toradora ,"Comedy, Romance, School, Slice of Life",J.C.Staff,633817.0,8.36,2
10,269,Bleach,"Action, Comedy, Shounen, Super Power, Supernatural",Studio Pierrot,624055.0,7.88,3
11,226,Elfen Lied,"Action, Horror, Psychological, Supernatural, Drama, Romance, Seinen",Arms,623511.0,7.7,0
12,22319,Tokyo Ghoul,"Action, Drama, Horror, Mystery, Psychological, Seinen, Supernatural",Studio Pierrot,618056.0,7.96,0
13,19815,No Game No Life,"Adventure, Comedy, Ecchi, Fantasy, Game, Supernatural",Madhouse,602291.0,8.36,3
14,121,Fullmetal Alchemist,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",Bones,600384.0,8.26,3
15,6702,Fairy Tail,"Action, Adventure, Comedy, Fantasy, Magic, Shounen","Satelight,       A-1 Pictures",584590.0,7.99,3
16,9919,Ao no Exorcist,"Action, Demons, Fantasy, Shounen, Supernatural",A-1 Pictures,583823.0,7.77,3
17,3588,Soul Eater,"Action, Adventure, Comedy, Fantasy, Shounen, Supernatural",Bones,580184.0,8.0,3
18,2904,Code Geass Hangyaku no Lelouch R2,"Action, Drama, Mecha, Military, Sci-Fi, Super Power",Sunrise,572888.0,8.93,0
19,2167,Clannad,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",Kyoto Animation,566690.0,8.17,2
20,2001,Tengen Toppa Gurren Lagann,"Action, Adventure, Comedy, Mecha, Sci-Fi",Gainax,562962.0,8.71,3
21,6746,Durarara ,"Action, Mystery, Supernatural",Brain's Base,556431.0,8.25,0
22,30276,One Punch Man,"Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural",Madhouse,552458.0,8.7,0
23,21881,Sword Art Online II,"Action, Game, Adventure, Romance, Fantasy",A-1 Pictures,537892.0,7.12,3
24,8074,Highschool of the Dead,"Action, Ecchi, Horror, Supernatural",Madhouse,535892.0,7.3,0
25,11111,Another,"Horror, Mystery, School, Supernatural, Thriller",P.A. Works,534657.0,7.69,0
26,20507,Noragami,"Action, Adventure, Shounen, Supernatural",Bones,515378.0,8.13,3
27,13601,Psycho Pass,"Action, Police, Psychological, Sci-Fi",Production I.G,509109.0,8.42,0
28,18679,Kill la Kill,"Action, Comedy, School, Super Power",Trigger,508118.0,8.17,2
29,22199,Akame ga Kill ,"Action, Adventure, Fantasy",White Fox,492133.0,7.75,0
30,1,Cowboy Bebop,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",Sunrise,486824.0,8.81,0
31,5081,Bakemonogatari,"Mystery, Romance, Supernatural, Vampire",Shaft,482268.0,8.35,0
32,199,Sen to Chihiro no Kamikakushi,"Adventure, Drama, Supernatural",Studio Ghibli,466254.0,8.9,0
33,9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai ,"Drama, Slice of Life, Supernatural",A-1 Pictures,463835.0,8.51,2
34,9756,Mahou Shoujo Madoka Magica,"Drama, Magic, Psychological, Thriller",Shaft,462974.0,8.43,2
35,30,Neon Genesis Evangelion,"Action, Dementia, Drama, Mecha, Psychological, Sci-Fi","Gainax,       Tatsunoko Production",461946.0,8.33,0
36,10793,Guilty Crown,"Action, Drama, Sci-Fi, Super Power",Production I.G,460959.0,7.67,0
37,4181,Clannad After Story,"Drama, Fantasy, Romance, Slice of Life, Supernatural",Kyoto Animation,456749.0,8.98,2
38,10087,Fate Zero,"Action, Fantasy, Supernatural",ufotable,453630.0,8.41,0
