,0,1,2,3,4,5,6,7,8,9
1,21339,30885,820,587,379,25835,3002,5258,4106,457
2,529,486,440,1254,2164,32935,5114,12365,11061,263
3,820,32935,2001,15335,4181,9969,918,9253,12355,15417
4,379,18245,390,3002,32542,7785,30885,25835,12471,21339
5,820,5114,32935,1575,11061,4181,431,6114,440,12355
6,18689,529,486,25835,7465,7785,5258,9074,23311,820
7,820,5114,9253,32935,199,16498,12431,2001,15417,440
8,440,4181,32935,9253,15417,13125,9969,918,820,2001
9,5114,9253,4181,11061,3002,23273,15417,918,2001,2904
10,820,7785,28977,19,3002,8142,486,12431,32935,440
11,820,32935,2904,1575,918,11061,9969,15417,28977,12431
12,820,918,4181,32935,9756,12431,15335,2001,440,199
13,18245,18689,12471,15417,15583,15605,15613,15687,15689,15699
14,820,5114,199,164,32935,1,1575,6114,440,12431
15,379,6211,30458,440,1829,486,239,185,11665,543
16,820,15417,7311,9969,32935,15335,918,2001,457,12431
17,820,1,28977,12431,15417,440,44,11061,13125,918
18,820,9253,11061,32935,1575,2001,4181,918,15417,9969
19,820,4181,32935,918,2001,12431,2904,11061,440,15417
20,4181,12431,820,9253,440,28977,11061,32935,15417,2251
21,820,32935,2001,9253,918,12431,205,15417,15335,28977
22,440,4181,3002,5114,7785,10162,8142,918,15417,9253
23,15335,2167,6114,14719,4282,4224,8142,15417,26055,4181
24,820,164,4181,1535,918,32935,440,15417,12431,2001
25,820,9253,32935,5114,9969,918,9756,13601,15335,164
26,486,28391,3002,25835,7785,379,7465,1690,18245,5258
27,5114,820,32935,9969,440,6114,1,15335,431,15417
28,440,820,9253,918,16498,32935,4181,15417,11061,263
29,820,1575,32935,918,2001,2904,11061,440,15417,457
30,820,2001,32935,1575,2904,431,918,15417,269,32
31,820,2001,12355,32935,9253,199,15335,1,164,431
32,820,9969,28977,15417,9253,4181,32935,5114,12355,2001
33,820,4181,199,2001,9253,32935,918,12355,440,777
34,820,918,15417,263,12431,9989,8142,32935,6114,9253
35,3002,7785,102,486,182,31559,15687,15225,15315,15335
36,2164,4181,820,28977,15335,10162,6675,32935,15417,12355
37,820,32935,11061,4181,1535,1575,813,2904,5114,12431
38,820,9253,28977,23273,440,12355,9989,164,15417,263
39,820,15417,199,431,32935,440,15335,13759,8142,3002
40,820,16498,918,32935,12431,2904,578,1575,263,5114
41,1,440,9989,5114,4181,2904,2001,9253,820,1575
42,820,32935,15417,4181,263,9253,440,9969,245,918
43,820,32935,1535,431,16498,12355,440,6114,4224,164
44,820,32935,918,4181,11061,12355,1,440,11757,28977
45,820,32935,9253,4181,164,2001,15417,440,1535,16498
46,32935,440,820,6114,19647,12431,813,23273,32,2001
47,820,5114,9969,32935,1535,9253,4181,28977,918,15417
48,1,164,820,32935,199,30,9969,6114,12355,440
49,18689,32542,3002,28391,7785,25835,14837,7465,15699,820
50,820,32935,918,9969,15417,440,28891,15335,6114,4181
51,918,12355,820,32935,12431,15335,440,28977,813,6114
52,32935,5114,440,2001,820,12431,9969,813,15417,15335
53,820,5114,1575,32935,28977,9969,440,11061,12431,918
54,6,18397,18179,18119,18115,17729,17513,17247,17074,16918
55,820,4181,431,32935,918,15417,12355,269,9969,2001
56,820,918,4181,32935,5114,9969,11771,15417,9253,12355
57,820,4181,32935,9253,28977,15417,918,12355,12431,440
58,820,4181,918,12431,32935,9969,15417,8142,2001,28977
59,5114,9253,4181,11061,3002,23273,15417,918,2001,2904
60,820,32935,918,2001,431,1535,4181,440,1,1575
61,820,32935,12431,5114,245,4181,9253,15417,28977,44
62,820,199,1575,9253,4181,28977,6114,431,22135,15417
63,12431,329,32935,820,440,6114,2001,28977,4181,1575
64,820,11061,12431,32935,9253,6114,4181,5114,15417,7785
65,820,4181,9253,32935,918,2001,28977,263,245,6114
66,820,1,32935,918,9253,2001,15417,13125,440,3002
67,2593,2952,12531,3783,317,48,245,30,790,32
68,820,32935,9989,199,440,2904,164,12431,4181,15417
69,820,12431,32935,15417,1,4181,440,5114,263,431
70,5114,4181,11061,3002,23273,15417,918,2001,2904,820
71,820,32935,9969,5114,4181,431,918,199,28977,15417
72,4181,820,918,15417,28977,32935,9969,13125,12431,1535
73,820,4181,32935,15335,1,9969,12355,12431,22135,440
74,820,32935,918,28977,15417,9969,18689,9253,2164,4181
75,431,820,918,32935,199,16498,1,9253,15417,4181
76,820,28977,9969,5114,11061,9253,23273,32935,12431,2001
77,32935,820,4181,918,12431,28977,15417,9253,2904,2001
78,440,820,32935,9969,28977,9253,5114,918,8142,11061
79,1,4181,820,9969,32935,918,2001,12431,28977,440
80,2167,4224,28977,15335,15417,3002,2001,1575,19647,918
81,820,32935,199,918,431,9969,9989,28977,15417,12431
82,820,32935,245,28977,440,12431,8142,4181,19,486
84,4181,820,32935,28977,12431,11061,13759,19,26055,15417
85,820,2001,32935,28977,4181,15417,2904,5114,23273,11061
86,2164,918,5114,7193,8142,440,11061,23273,820,32281
87,2904,4181,1575,918,820,9253,32935,15417,9969,12355
88,2001,918,9253,820,32935,4181,199,9969,12355,28977
89,18245,379,18689,12471,3002,30885,239,7465,7785,28675
90,529,820,486,28977,3002,32935,12431,7785,13125,7311
91,32935,4181,440,7785,11061,820,5114,12431,28977,387
92,440,820,6114,8142,918,4181,9253,199,15417,32935
93,820,2001,199,32935,32,5114,1,1575,30,2904
94,9253,820,4181,9989,32935,918,16498,15417,9969,2904
95,820,32935,1535,1575,918,2001,12431,11061,15417,6114
96,12431,2164,22135,329,820,15417,6114,32935,28977,9969
97,820,9253,918,32935,11061,4181,15417,15335,6114,440
98,820,32935,5114,11061,9253,440,486,15417,199,28977
99,820,32935,164,918,15417,440,12431,15335,1,13125
100,820,918,9253,2904,12431,263,5114,32935,4181,440
101,9253,5040,15417,820,245,918,11061,32935,263,1535
102,820,5114,32935,164,15335,9969,6114,440,15417,12431
103,820,2001,9253,12355,5114,32935,4181,164,431,918
104,820,9253,4181,32935,9969,2001,918,6114,12431,1
105,820,4181,9253,12431,32935,918,11061,15417,486,16498
106,820,5114,918,32935,15335,4181,1575,2904,12355,813
107,820,4181,2904,5114,918,2001,32935,9969,199,9253
108,820,9253,2001,32935,5114,440,15335,12431,6114,9989
109,199,5114,9253,820,32935,9989,2001,918,1575,4181
110,820,2001,4181,9969,32935,918,12431,28977,2904,30
111,820,2001,32935,5114,4181,6114,199,918,12431,15417
112,9253,918,9969,199,2001,32935,820,1575,15417,164
113,5114,9253,4181,11061,3002,23273,15417,918,2001,2904
114,482,48,12115,12113,28735,4565,267,30654,182,25
115,32935,28977,918,820,12431,11981,4181,2164,9253,15417
116,32,4181,440,820,5114,9253,918,2001,32935,1
117,820,2001,4181,32935,12431,9253,1,16498,918,440
118,820,4181,9253,918,11061,32935,1,431,440,9969
120,820,5114,32935,199,9253,9969,1575,6114,12355,2904
121,820,11061,4181,2001,12431,32935,9253,440,15417,28977
122,1,28891,16894,486,3002,457,440,431,16498,9756
123,820,5114,2001,11061,918,9969,28977,9756,4181,440
124,820,918,9969,11061,32935,15417,4181,28977,440,8142
125,820,1575,918,32935,15417,4181,16498,9969,12431,813
126,820,32935,199,431,4181,15335,440,12431,15417,1575
127,820,9253,32935,431,11757,199,918,6114,4181,440
128,820,32935,1575,9969,164,15417,440,4181,9253,12431
129,32935,820,4181,918,2001,440,12431,15417,28977,15335
130,32935,820,9253,199,15335,11061,2001,440,164,2904
131,122,2164,4565,28977,17074,9253,6114,5114,820,10162
132,820,918,2001,32935,9969,12431,813,9989,1575,2904
133,18689,486,28805,379,25835,94,145,3002,4106,21339
134,820,28977,5114,6114,9253,15417,1535,4181,32935,13759
135,5114,820,9253,440,32935,1,164,11061,32,12431
136,440,32935,9253,245,4181,11061,918,15417,28977,5040
137,820,12431,11061,918,4181,245,9969,9253,28977,457
138,440,32935,4181,820,918,15417,9969,9253,5040,1535
139,820,32935,9969,4181,918,15335,12355,28977,15417,10165
140,820,9969,918,4181,1,32935,9989,11061,15417,12431
141,820,32935,4181,1,15335,1575,5114,22135,12431,15417
142,820,918,9253,4181,32935,12355,9969,15417,23273,12431
143,18689,32542,543,25835,3002,379,30885,31741,7785,1829
144,820,32935,440,12355,12431,1535,16498,1,9253,32
145,820,25835,18689,457,387,861,587,19365,543,14027
146,820,11061,9969,2001,32935,23273,12431,15417,9253,918
147,1,17074,1889,2001,170,19647,2236,2904,3002,3701
148,820,32935,9989,431,4181,440,28891,22135,23273,6114
149,4181,820,32935,5114,9253,12431,11061,28977,23273,15417
150,820,15417,4181,918,32935,12431,28977,245,2001,11061
151,529,28675,486,28805,5258,18689,3002,31741,29589,25835
152,820,32935,918,9969,6114,15417,440,12431,22135,15335
153,820,164,1,9253,2001,32935,12355,440,4181,918
154,32935,820,28977,6114,440,12431,4181,1535,15417,486
155,820,32935,5114,918,4181,15417,6114,12431,3784,440
156,820,5114,32935,1,30,164,918,12431,9969,15335
157,1827,28675,18689,3002,102,7785,31741,379,25835,486
158,820,9969,32935,12355,15335,9253,918,12431,2001,440
159,820,9253,4181,918,32935,9969,28977,9989,15417,11061
160,16498,918,11757,32935,9969,5114,820,12431,440,15417
161,32935,4181,9253,2001,15417,5114,12355,23273,9969,918
163,820,32935,4181,2001,12431,9969,440,15335,15417,28977
164,820,5114,1575,32935,431,9989,12355,1535,2001,9253
165,820,9253,4181,918,15417,28977,32935,2001,440,16498
166,820,32935,9253,918,4181,440,15335,28977,12355,12431
167,820,32935,12431,4181,431,9969,9253,15417,28977,918
168,9253,4181,32935,5114,820,918,12431,440,11061,28977
169,5114,820,9253,32935,918,1,1535,30276,440,2001
170,820,5114,1575,32935,4181,1,2904,15335,9253,9969
171,820,918,32935,4181,12431,440,1575,6547,15417,4282
172,2164,486,457,19703,28391,379,98,4565,4107,25835
173,820,918,32935,9969,12431,440,28977,23273,15417,19647
174,32935,11061,4181,16498,820,7785,5114,11741,13759,263
175,820,4181,9253,15417,12431,32935,6114,918,19815,28977
176,820,32935,12431,263,15417,2001,12355,28977,486,3002
177,820,32935,4181,2001,9969,918,440,28977,15417,15335
178,820,918,15417,2001,9969,32935,12431,4181,6114,12355
179,820,918,15417,2001,12431,32935,22535,30276,440,32281
180,820,32935,4181,918,9969,2001,9253,28977,1535,11061
181,440,820,9253,32935,6114,578,12355,15417,7785,12431
182,185,7465,1829,3002,32542,486,19647,387,25835,23273
183,32935,918,440,9969,15417,28977,15335,6114,12431,164
184,820,32935,1,12431,9969,440,12355,2001,918,15417
185,820,2001,32935,9253,2904,5114,813,9989,440,918
186,820,5114,164,32935,1575,4181,22135,9253,918,6114
187,820,32935,1,12355,2001,28977,918,15417,12431,7311
188,529,18689,486,3002,25835,32542,28675,94,28805,820
189,5114,820,32935,19,813,918,440,15335,15417,12355
190,820,9253,4181,32935,2001,918,1575,440,9756,9989
